,Chademo_total,Chademo_available,Chademo_occupied,Chademo_reserved,Chademo_unknown,Chademo_out_of_service,IEC62196Type2CCS_total,IEC62196Type2CCS_available,IEC62196Type2CCS_occupied,IEC62196Type2CCS_reserved,IEC62196Type2CCS_unknown,IEC62196Type2CCS_out_of_service,Total_total,Total_available,Total_occupied,Total_reserved,Total_unknown,Total_out_of_service,chargingAvailability,IEC62196Type2CableAttached_total,IEC62196Type2CableAttached_available,IEC62196Type2CableAttached_occupied,IEC62196Type2CableAttached_reserved,IEC62196Type2CableAttached_unknown,IEC62196Type2CableAttached_out_of_service,IEC62196Type2Outlet_total,IEC62196Type2Outlet_available,IEC62196Type2Outlet_occupied,IEC62196Type2Outlet_reserved,IEC62196Type2Outlet_unknown,IEC62196Type2Outlet_out_of_service,IEC62196Type1CCS_total,IEC62196Type1CCS_available,IEC62196Type1CCS_occupied,IEC62196Type1CCS_reserved,IEC62196Type1CCS_unknown,IEC62196Type1CCS_out_of_service
47,4.0,1.0,1.0,0.0,2.0,0.0,8.0,3.0,3.0,0.0,2.0,0.0,12,4,4,0,4,0,528009009088773,,,,,,,,,,,,,,,,,,
48,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5,5,0,0,0,0,528009010067223,,,,,,,,,,,,,,,,,,
49,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,5,2,0,0,3,0,528009009085940,,,,,,,,,,,,,,,,,,
50,,,,,,,6.0,5.0,1.0,0.0,0.0,0.0,6,5,1,0,0,0,528009009107360,,,,,,,,,,,,,,,,,,
51,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,0,0,0,2,0,528009010067430,,,,,,,,,,,,,,,,,,
52,,,,,,,2.0,1.0,1.0,0.0,0.0,0.0,2,1,1,0,0,0,528009010040550,,,,,,,,,,,,,,,,,,
53,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,528009010071232,,,,,,,,,,,,,,,,,,
54,5.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,9,0,0,0,9,0,528009010107347,,,,,,,,,,,,,,,,,,
55,6.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,12,12,0,0,0,0,528009010104373,,,,,,,,,,,,,,,,,,
56,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,528009010104136,,,,,,,,,,,,,,,,,,
57,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,528009010110219,,,,,,,,,,,,,,,,,,
58,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,528009009107800,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
59,8.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,16,16,0,0,0,0,528009010112488,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4,0,0,0,4,0,528009010110049,,,,,,,,,,,,,,,,,,
61,4.0,4.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,9,8,0,0,1,0,528009010110250,,,,,,,,,,,,,,,,,,
62,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6,6,0,0,0,0,528009010056387,,,,,,,,,,,,,,,,,,
63,2.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,6,3,3,0,0,0,528009010111171,,,,,,,,,,,,,,,,,,
64,2.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,6,4,2,0,0,0,528009010110502,,,,,,,,,,,,,,,,,,
65,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3,0,0,0,1,2,528009010109229,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
66,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010106256,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
67,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,528009010104409,,,,,,,,,,,,,,,,,,
68,,,,,,,2.0,1.0,1.0,0.0,0.0,0.0,2,1,1,0,0,0,528009010072535,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,6,0,0,0,0,6,528009009081465,,,,,,,6.0,0.0,0.0,0.0,0.0,6.0,,,,,,
70,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,528008000031311,,,,,,,,,,,,,,,,,,
71,,,,,,,4.0,4.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,528009010108797,,,,,,,,,,,,,,,,,,
72,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,2,0,2,0,0,0,528009010107770,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0
73,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,6,0,0,0,6,0,528009010108866,,,,,,,,,,,,,,,,,,
74,,,,,,,4.0,4.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,528009010047629,,,,,,,,,,,,,,,,,,
75,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,528009009087337,,,,,,,,,,,,,,,,,,
76,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010055155,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
77,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,8,0,0,0,8,0,528009010107328,,,,,,,,,,,,,,,,,,
78,3.0,2.0,1.0,0.0,0.0,0.0,8.0,5.0,3.0,0.0,0.0,0.0,11,7,4,0,0,0,528009010108937,,,,,,,,,,,,,,,,,,
79,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,5,3,2,0,0,0,528009010109465,,,,,,,,,,,,,,,,,,
80,8.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,16,16,0,0,0,0,528009010103968,,,,,,,,,,,,,,,,,,
81,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,528009010112444,,,,,,,,,,,,,,,,,,
82,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,528009010104975,,,,,,,,,,,,,,,,,,
83,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8,8,0,0,0,0,528009010112837,,,,,,,,,,,,,,,,,,
84,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,5,3,2,0,0,0,528009010106598,,,,,,,,,,,,,,,,,,
85,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010056505,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
86,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,528009010108893,,,,,,,,,,,,,,,,,,
87,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,528009010105251,,,,,,,,,,,,,,,,,,
88,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,0,0,0,3,0,528009009084916,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
89,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,1,1,0,1,0,528009010107844,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
90,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,7,6,0,0,0,1,528009009095881,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,
91,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010048455,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
92,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010057817,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
93,,,,,,,4.0,4.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,528009010066350,,,,,,,,,,,,,,,,,,
94,2.0,1.0,1.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,8,5,3,0,0,0,528009010112288,,,,,,,,,,,,,,,,,,
95,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6,6,0,0,0,0,528009010111753,,,,,,,,,,,,,,,,,,
96,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,8,0,0,0,8,0,528009010106742,,,,,,,,,,,,,,,,,,
97,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,1,2,0,0,0,528008000016012,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
98,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0,528009010067615,,,,,,,,,,,,,,,,,,
99,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6,6,0,0,0,0,528009010071350,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
100,,,,,,,,,,,,,1,0,0,0,1,0,528009010051554,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
101,6.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,12,12,0,0,0,0,528009010109523,,,,,,,,,,,,,,,,,,
102,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010066655,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
103,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4,0,0,0,4,0,528009010105918,,,,,,,,,,,,,,,,,,
104,2.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,7,4,3,0,0,0,528009010106890,,,,,,,,,,,,,,,,,,
105,2.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,6,2,4,0,0,0,528009010109671,,,,,,,,,,,,,,,,,,
106,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,528009002415141,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
107,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,528008000012596,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
108,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010107142,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
109,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,8,8,0,0,0,0,528009009072917,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
110,,,,,,,4.0,3.0,1.0,0.0,0.0,0.0,4,3,1,0,0,0,528009010072472,,,,,,,,,,,,,,,,,,
111,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3,1,2,0,0,0,528009010103780,,,,,,,,,,,,,,,,,,
112,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,1,1,0,1,0,528009010055282,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
113,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010070235,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
114,,,,,,,2.0,1.0,1.0,0.0,0.0,0.0,2,1,1,0,0,0,528009009082315,,,,,,,,,,,,,,,,,,
115,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5,4,0,0,1,0,528009009073507,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
116,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,4,2,0,0,0,2,528009010056697,,,,,,,,,,,,,,,,,,
117,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,0,1,528009009073381,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,
118,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,6,0,0,0,6,0,528009010110910,,,,,,,,,,,,,,,,,,
119,2.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,8,5,3,0,0,0,528009002567840,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,2,0,0,0,2,0,528009010069869,2.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,
121,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8,8,0,0,0,0,528009010109139,,,,,,,,,,,,,,,,,,
122,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0,528009009091731,,,,,,,,,,,,,,,,,,
123,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,6,6,0,0,0,0,528009010108828,,,,,,,,,,,,,,,,,,
124,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3,0,3,0,0,0,528009010105758,,,,,,,,,,,,,,,,,,
125,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4,0,0,0,4,0,528009010107880,,,,,,,,,,,,,,,,,,
126,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,6,4,2,0,0,0,528009009075853,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
127,2.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,6,1,5,0,0,0,528009010104866,,,,,,,,,,,,,,,,,,
128,2.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,6,5,1,0,0,0,528009010107006,,,,,,,,,,,,,,,,,,
129,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,8,0,0,0,8,0,528009010112134,,,,,,,,,,,,,,,,,,
130,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010041770,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
131,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,5,5,0,0,0,0,528009010106132,,,,,,,,,,,,,,,,,,
132,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,528009010110059,,,,,,,,,,,,,,,,,,
133,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,0,0,0,2,0,528009010065071,,,,,,,,,,,,,,,,,,
134,8.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,16,16,0,0,0,0,528009010108360,,,,,,,,,,,,,,,,,,
135,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4,2,2,0,0,0,528009009105250,,,,,,,,,,,,,,,,,,
136,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010043415,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
137,1.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,8,8,0,0,0,0,528009010110893,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
138,6.0,4.0,2.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,12,8,4,0,0,0,528009009096441,,,,,,,,,,,,,,,,,,
139,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,528009010111509,,,,,,,,,,,,,,,,,,
140,,,,,,,4.0,0.0,0.0,0.0,4.0,0.0,4,0,0,0,4,0,528009010046617,,,,,,,,,,,,,,,,,,
141,,,,,,,4.0,4.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,528009010107736,,,,,,,,,,,,,,,,,,
142,3.0,2.0,0.0,0.0,1.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,10,8,0,0,2,0,528009010110907,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
143,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,6,6,0,0,0,0,528009009075282,,,,,,,,,,,,,,,,,,
144,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,1,1,0,1,0,528009010049417,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
145,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010049107,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
146,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,528009010044975,,,,,,,,,,,,,,,,,,
147,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6,5,1,0,0,0,528009009072160,2.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,
148,8.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,16,0,0,0,16,0,528009010111967,,,,,,,,,,,,,,,,,,
149,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,528009010109913,,,,,,,,,,,,,,,,,,
150,,,,,,,2.0,1.0,1.0,0.0,0.0,0.0,2,1,1,0,0,0,528009010105676,,,,,,,,,,,,,,,,,,
151,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6,6,0,0,0,0,528009009103312,,,,,,,,,,,,,,,,,,
152,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,0,0,0,0,2,528009010057842,,,,,,,,,,,,,,,,,,
153,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,528009009087107,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
154,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,1,0,0,1,1,528009010046046,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
155,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,6,3,1,0,2,0,528009010045122,2.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,
156,1.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,1.0,0.0,8,6,1,0,1,0,528009010108912,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
157,3.0,3.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,0.0,0.0,0.0,10,9,1,0,0,0,528009010109630,,,,,,,,,,,,,,,,,,
158,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,5,4,1,0,0,0,528009010055744,,,,,,,,,,,,,,,,,,
159,,,,,,,6.0,1.0,0.0,0.0,5.0,0.0,6,1,0,0,5,0,528009010111403,,,,,,,,,,,,,,,,,,
160,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,6,4,2,0,0,0,528009010104054,,,,,,,,,,,,,,,,,,
161,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4,0,0,0,4,0,528009010104635,,,,,,,,,,,,,,,,,,
162,2.0,1.0,1.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,8,6,2,0,0,0,528009010107484,,,,,,,,,,,,,,,,,,
163,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,0,0,0,2,0,528009010110333,,,,,,,,,,,,,,,,,,
164,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010057340,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
165,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010050175,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
166,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,4,2,0,0,2,0,528009008553631,,,,,,,,,,,,,,,,,,
167,3.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,0.0,0.0,4.0,0.0,11,2,0,0,9,0,528009009078878,2.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,
168,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,6,0,0,0,6,0,528009009107010,,,,,,,,,,,,,,,,,,
169,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,4,3,1,0,0,0,528009010109000,,,,,,,,,,,,,,,,,,
170,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,8,0,0,0,8,0,528009010108040,,,,,,,,,,,,,,,,,,
171,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010056519,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
172,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,528009010072729,,,,,,,,,,,,,,,,,,
173,,,,,,,4.0,3.0,1.0,0.0,0.0,0.0,4,3,1,0,0,0,528009009077771,,,,,,,,,,,,,,,,,,
174,4.0,3.0,1.0,0.0,0.0,0.0,8.0,5.0,3.0,0.0,0.0,0.0,13,9,4,0,0,0,528009009078901,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
175,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4,0,0,0,4,0,528009010103824,,,,,,,,,,,,,,,,,,
176,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6,6,0,0,0,0,528009010069431,,,,,,,,,,,,,,,,,,
177,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,528009010110491,,,,,,,,,,,,,,,,,,
178,2.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,6,4,2,0,0,0,528009010111646,,,,,,,,,,,,,,,,,,
179,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,4,2,0,0,2,0,528009010051452,,,,,,,,,,,,,,,,,,
180,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,1,2,0,0,0,528008000012804,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
181,3.0,3.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,0.0,0.0,0.0,11,9,2,0,0,0,528009010071428,,,,,,,,,,,,,,,,,,
182,3.0,3.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,11,10,1,0,0,0,528009009096225,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
183,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010040359,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
184,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010048399,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
185,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,0,0,0,3,0,528009009078050,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
186,3.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,11,0,0,0,11,0,528009010112591,,,,,,,,,,,,,,,,,,
187,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,1,1,0,1,0,528009010065903,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
188,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6,6,0,0,0,0,528009010107828,,,,,,,,,,,,,,,,,,
189,8.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,16,16,0,0,0,0,528009010112848,,,,,,,,,,,,,,,,,,
190,,,,,,,2.0,0.0,0.0,0.0,0.0,2.0,2,0,0,0,0,2,528009010109240,,,,,,,,,,,,,,,,,,
191,8.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,16,16,0,0,0,0,528009010104959,,,,,,,,,,,,,,,,,,
192,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010105580,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
193,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,1,0,0,0,528009009086102,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,
194,,,,,,,3.0,2.0,1.0,0.0,0.0,0.0,3,2,1,0,0,0,528009009084983,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,2,2,0,0,0,0,528009010065809,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,
196,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,528009010074332,,,,,,,,,,,,,,,,,,
197,2.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,6,4,2,0,0,0,528009010056662,,,,,,,,,,,,,,,,,,
198,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,4,2,0,0,0,2,528009010065691,,,,,,,,,,,,,,,,,,
