,Chademo_total,Chademo_available,Chademo_occupied,Chademo_reserved,Chademo_unknown,Chademo_out_of_service,IEC62196Type2CCS_total,IEC62196Type2CCS_available,IEC62196Type2CCS_occupied,IEC62196Type2CCS_reserved,IEC62196Type2CCS_unknown,IEC62196Type2CCS_out_of_service,Total_total,Total_available,Total_occupied,Total_reserved,Total_unknown,Total_out_of_service,chargingAvailability,IEC62196Type2CableAttached_total,IEC62196Type2CableAttached_available,IEC62196Type2CableAttached_occupied,IEC62196Type2CableAttached_reserved,IEC62196Type2CableAttached_unknown,IEC62196Type2CableAttached_out_of_service,IEC62196Type2Outlet_total,IEC62196Type2Outlet_available,IEC62196Type2Outlet_occupied,IEC62196Type2Outlet_reserved,IEC62196Type2Outlet_unknown,IEC62196Type2Outlet_out_of_service,IEC62196Type1CCS_total,IEC62196Type1CCS_available,IEC62196Type1CCS_occupied,IEC62196Type1CCS_reserved,IEC62196Type1CCS_unknown,IEC62196Type1CCS_out_of_service
281,2.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,6,3,3,0,0,0,528009010106879,,,,,,,,,,,,,,,,,,
282,2.0,2.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,8,8,0,0,0,0,528009010107877,,,,,,,,,,,,,,,,,,
283,8.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,16,16,0,0,0,0,528009010112024,,,,,,,,,,,,,,,,,,
284,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,0,2,0,1,0,528009009107766,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
285,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,1,1,0,0,0,528009010104383,,,,,,,,,,,,,,,,,,
286,3.0,3.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,11,11,0,0,0,0,528009010112612,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
287,,,,,,,13.0,0.0,2.0,0.0,11.0,0.0,13,0,2,0,11,0,528009010068941,,,,,,,,,,,,,,,,,,
288,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,528009010066731,,,,,,,,,,,,,,,,,,
289,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010043772,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
290,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,5,3,2,0,0,0,528009010106949,,,,,,,,,,,,,,,,,,
291,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,1,1,0,0,0,0,528009010106197,,,,,,,,,,,,,,,,,,
292,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6,6,0,0,0,0,528009010105549,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
293,2.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,6,4,2,0,0,0,528009010111774,,,,,,,,,,,,,,,,,,
294,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8,8,0,0,0,0,528009010110738,,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,1,1,0,0,0,0,528009010043411,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,
296,2.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,8,6,2,0,0,0,528009009084629,,,,,,,,,,,,,,,,,,
297,3.0,2.0,1.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,11,7,4,0,0,0,528008000015587,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
298,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,1,1,0,1,0,528009010048498,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
