,name,lat,lon,connectorTypes,chargingAvailability
97,Haarlem Ingenieur Lelyweg,52.38761,4.65613,"['IEC62196Type2CCS', 'Chademo']",
98,Allego Sassenheim Warmonderweg,52.21298,4.50358,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",
99,ENGIE Rotterdam Zeemansstraat,51.90652,4.47699,"['IEC62196Type2Outlet', 'IEC62196Type2Outlet', 'IEC62196Type2CableAttached', 'IEC62196Type2Outlet', 'StandardHouseholdCountrySpecific', 'StandardHouseholdCountrySpecific', 'IEC62196Type2Outlet']",528009009081465
100,Barendrecht Middelweg,51.84501,4.51944,"['IEC62196Type2CCS', 'Chademo']",528008000031311
101,PARKnCHARGE Rijswijk Vrijenbanselaan,52.028,4.35729,"['IEC62196Type2CCS', 'IEC62196Type2CCS']",528009010108797
102,Gouda Elburgplein,52.02586,4.6752,"['IEC62196Type2Outlet', 'IEC62196Type1CCS', 'IEC62196Type2CCS']",528009010107770
103,Fastned Haarlem Fustweg,52.38514,4.66166,"['IEC62196Type2CCS', 'Chademo']",528009010108866
104,IONITY Hendrik-Ido-Ambacht Rijksweg A16,51.836,4.62001,['IEC62196Type2CCS'],528009010047629
105,E-Flux Alkmaar Smaragdweg,52.60887,4.75626,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'Chademo']",528009009087337
106,InCharge Warmond Stationslaan,52.21494,4.51446,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010055155
107,Shell Recharge Nieuwerkerk aan den IJssel E25,51.96759,4.58995,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010107328
108,Fastned Zoetermeer Rijksweg A12,52.05177,4.43628,"['IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CCS']",528009010108937
109,Fastned Delft Rijksweg A13,51.98344,4.39277,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010109465
110,Shell Recharge Hendrik-Ido-Ambacht Rijksweg A16,51.83399,4.62049,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010103968
111,E-Flux Velddriel De Tweede Geerden,51.75748,5.29196,"['IEC62196Type2CCS', 'Chademo']",528009010112444
112,Allego Beesd Rijksweg A2,51.91159,5.1785,"['Chademo', 'IEC62196Type2CCS']",528009010104975
113,Shell Recharge Meerkerk E311,51.91079,4.98413,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010112837
114,Fastned Nieuwegein Rijksweg A27,52.01425,5.12227,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010106598
115,InCharge Barendrecht Van der Waalsweg,51.86963,4.54829,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010056505
116,Fastned Breukelen,52.14319,5.00033,"['IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CCS']",528009010108893
117,TotalEnergies Papendrecht Burgemeester Keijzerweg,51.84638,4.68112,"['Chademo', 'IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'IEC62196Type2CCS']",528009010105251
118,Dordrecht Leeuwstraat,51.78678,4.68513,['IEC62196Type2CCS'],
119,Allego Dordrecht Laan van Europa,51.77391,4.65219,"['IEC62196Type2Outlet', 'IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009009084916
120,Allego Amsterdam Tijnmuiden,52.39182,4.77916,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'Chademo']",
121,InCharge Amsterdam IJdoornlaan,52.41528,4.91166,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010107844
122,Allego Den Hoorn,52.00888,4.31156,"['IEC62196Type2CCS', 'Chademo']",
123,Hoofddorp Kruisweg,52.29228,4.71487,['IEC62196Type2CCS'],
124,Allego Harmelen Veldhuizerweg,52.08188,5.00336,"['IEC62196Type2CCS', 'Chademo']",
125,Allego Nieuwegein Waterliniedok,52.01137,5.12269,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009009095881
126,InCharge Dordrecht Rijksstraatweg,51.77417,4.64742,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010048455
127,InCharge Capelle aan den IJssel Hoofdweg,51.95221,4.56547,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010057817
128,Allego Woerden Europabaan,52.07566,4.90118,['IEC62196Type2CCS'],528009010066350
129,Shell Recharge Breukelen Rijksweg A2 Oostzijde,52.18367,4.9879,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",
130,Fastned Muiden,52.32013,5.07795,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010112288
131,Fastned Hardinxveld-Giessendam Den Bout,51.83217,4.88124,"['IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CCS']",528009010111753
132,Shell Recharge Den Hoorn,52.00931,4.31126,"['Chademo', 'IEC62196Type2CCS']",528009010106742
133,Shell Recharge Delft Heertjeslaan,51.98738,4.37994,"['IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CableAttached']",
134,Allego Krimpen aan den IJssel Raadhuisplein,51.91453,4.58852,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528008000016012
135,Tesla Ridderkerk Krommeweg,51.8679,4.55775,"['IEC62196Type2CCS', 'Tesla']",
136,Allego Nieuwegein Rijksweg A27,52.01484,5.11961,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",
137,Groot-Ammers Ambachtsweg,51.93392,4.85308,"['IEC62196Type2Outlet', 'IEC62196Type2CCS']",528009010067615
138,Fastned Noordbeemster Rijksweg A7,52.58139,4.97789,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010071350
139,Blue Corner Amsterdam Australiëhavenweg,52.38445,4.80314,['IEC62196Type2CableAttached'],528009010051554
140,Shell Recharge Hoofddorp Rijksweg A4,52.25862,4.68495,"['IEC62196Type2CCS', 'Chademo']",528009010109523
141,Shell Recharge Alphen aan den Rijn Koperweg,52.14669,4.64845,['Chademo'],
142,Zaandam Provincialeweg,52.44274,4.81156,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'Chademo']",
143,OG Gouda Industriestraat,52.01133,4.6926,"['IEC62196Type2CCS', 'Chademo']",
144,InCharge Gouda Nieuwe Gouwe Oostzijde,52.01882,4.68298,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010066655
145,Shell Recharge Bruchem Rijksweg A2,51.77667,5.25806,"['Chademo', 'IEC62196Type2CCS']",528009010105918
146,Tesla Hoogblokland Energieweg,51.89952,4.98297,['IEC62196Type2CCS'],
147,Fastned Nieuwerkerk aan den IJssel Rijksweg A20,51.96791,4.58903,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CableAttached', 'Chademo']",528009010106890
148,Fastned Harmelen Bijleveld,52.07941,4.98098,"['Chademo', 'IEC62196Type2CCS', 'IEC62196Type2CCS']",528009010109671
149,Allego Eemnes Rijksweg,52.2358,5.23033,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009002415141
150,Allego Leiderdorp Rijksweg A4,52.16247,4.55533,"['IEC62196Type2CCS', 'Chademo']",
151,Allego Amstelveen Asserring,52.28183,4.82771,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528008000012596
152,InCharge Gorinchem Franklinweg,51.84116,5.00506,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010107142
153,Fastned Eemnes Rijksweg A27,52.26434,5.25598,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009009072917
154,Allego Hoorn Westfriese Parkweg,52.65127,5.0387,['IEC62196Type2CCS'],528009010072472
155,Fastned Delfgauw Rijksstraatweg,51.9844,4.39483,"['Chademo', 'IEC62196Type2CCS', 'IEC62196Type2CCS']",528009010103780
156,Krimpen aan den IJssel Nieuwe Tiendweg,51.92012,4.60447,['IEC62196Type2CCS'],
157,InCharge Hillegom Arnoudstraat,52.27562,4.57351,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010055282
158,InCharge Hilversum Vreelandseweg,52.22074,5.1445,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010070235
159,Aalsmeer Aalsmeerderweg,52.28947,4.82184,"['IEC62196Type2CCS', 'Chademo']",
160,IONITY Hendrik-Ido-Ambacht Rijksweg A16,51.83483,4.61808,['IEC62196Type2CCS'],528009009082315
161,TotalEnergies Houten De Staart,52.02499,5.14037,"['IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009009073507
162,TotalEnergies Rotterdam Melanchtonweg,51.94924,4.46116,"['IEC62196Type2CCS', 'Chademo']",528009010056697
163,PARKnCHARGE Amsterdam Deccaweg,52.40247,4.84162,"['Chademo', 'IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'IEC62196Type2CCS']",
164,Allego Amstelveen Patrimoniumlaan,52.31022,4.84711,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009009073381
165,Shell Recharge Oude Meer Fokkerweg,52.28688,4.78259,"['Chademo', 'IEC62196Type2CCS']",528009010110910
166,TotalEnergies Harmelen Rijksweg A12,52.07999,4.98024,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",
167,Allego Bunnik Kosterijland,52.06095,5.20549,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009002567840
168,TotalEnergies Den Haag Jan Pietersz. Coenstraat,52.07959,4.33427,"['Chademo', 'IEC62196Type2CableAttached', 'IEC62196Type2CCS']",528009010069869
169,TotalEnergies Amsterdam Stadionplein,52.34263,4.85679,"['Chademo', 'IEC62196Type2CableAttached', 'IEC62196Type2CCS']",
170,Shell Recharge Alblasserdam Rijksweg A15,51.84992,4.68022,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010109139
171,PARKnCHARGE Rotterdam Corkstraat,51.94398,4.41062,"['IEC62196Type2Outlet', 'IEC62196Type2CCS']",528009009091731
172,Fastned Oegstgeest Rijksweg A44,52.19815,4.47163,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010108828
173,Amsterdam Klokkenbergweg,52.30177,4.93788,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'Chademo']",
174,Tesla Schiedam Hargalaan,51.92481,4.37226,"['IEC62196Type2CCS', 'Tesla']",
175,Fastned Heemskerk Twaalfmaat,52.50064,4.70298,"['Chademo', 'IEC62196Type2CCS', 'IEC62196Type2CCS']",528009010105758
176,Allego Gouda De Andel,52.03932,4.70527,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'Chademo']",
177,Allego Meerkerk Energieweg,51.89982,4.98276,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",
178,Shell Recharge Utrecht Ruimteweg,52.12356,5.03985,"['Chademo', 'IEC62196Type2CCS']",528009010107880
179,Allego Schiphol Loevesteinse Randweg,52.32125,4.79265,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009009075853
180,Fastned Rhoon,51.86265,4.45986,"['IEC62196Type2CCS', 'Chademo']",528009010104866
181,Fastned Den Hoorn,52.00925,4.31211,"['IEC62196Type2CCS', 'Chademo']",528009010107006
182,Shell Recharge Amsterdam Van Slingelandtstraat,52.38395,4.86476,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010112134
183,Tesla Bunnik Baan van Fectio,52.06103,5.20514,"['Tesla', 'IEC62196Type2CCS']",
184,InCharge IJsselstein Lorentzlaan,52.01494,5.06268,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",
185,Tesla Sassenheim Warmonderweg,52.21326,4.50342,['IEC62196Type2CCS'],
186,InCharge Schagen Grotewallerweg,52.78234,4.80903,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010041770
187,Shell Recharge Wieringerwerf Hoge Kwel,52.85654,5.02123,"['IEC62196Type2CCS', 'Chademo']",528009010106132
188,Fastned Wieringerwerf Hoge Kwel,52.85719,5.02148,"['IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",
189,Allego De Koog Pelikaanweg,53.08175,4.76146,"['IEC62196Type2CCS', 'Chademo']",528009010110059
190,AVIA Julianadorp Strandslag,52.89689,4.72016,['IEC62196Type2CableAttached'],
191,PARKnCHARGE Milheeze Milheesestraat,51.50434,5.78799,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'Chademo']",528009010065071
192,Shell Recharge Heerlen A76,50.8233,6.01969,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010108360
193,PARKnCHARGE Helmond Heibloemweg,51.44967,5.70869,"['IEC62196Type2CCS', 'Chademo']",528009009105250
194,InCharge Uden Voskestraat,51.67113,5.60077,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010043415
195,Fastned Haps A73 Rijksweg,51.68426,5.89089,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010110893
196,Fastned Eindhoven Limburglaan,51.43422,5.45061,"['IEC62196Type2CCS', 'Chademo']",528009009096441
197,Shell Recharge 's-Hertogenbosch Gestelseweg,51.67888,5.3269,"['IEC62196Type2Outlet', 'Chademo', 'IEC62196Type2CCS']",528009010111509
198,IONITY Best Eindhovenseweg-Zuid,51.50305,5.41436,['IEC62196Type2CCS'],528009010046617
199,AVIA Eindhoven Eisenhowerlaan,51.45469,5.5223,['IEC62196Type2CCS'],528009010107736
200,Fastned Geffen Rijksweg,51.73451,5.49272,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo', 'Chademo']",528009010110907
201,PARKnCHARGE Best N.C.B.-Weg,51.50143,5.41622,"['IEC62196Type2Outlet', 'IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009009075282
202,InCharge Venlo Weselseweg,51.38098,6.18911,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010049417
203,InCharge Gronsveld Burgemeester Frans Cortenraadstraat,50.81235,5.72145,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010049107
204,Allego Oirlo,51.50631,6.02182,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",
